Material,Month,Year,Unit Price,Unit Price (x 1000),Rate Card Price,Unit Rate Card Price,Amount Doc Curr (£),Invoice Receipt Quantity,Difference,diff x quant
402431,1,2021,0.0259,25.87003205128205,25.66,0.0257,3228.58,124800,-0.0001999999999999988,-24.959999999999848
411627,1,2021,0.0271,27.109986504723345,26.88,0.0269,3615.93,133380,-0.0001999999999999988,-26.67599999999984
417752,4,2021,0.0606,60.61009208937198,64.51,0.0645,3211.85,52992,0.0039000000000000007,206.66880000000003
417752,4,2021,0.0606,60.60992697010869,64.51,0.0645,2854.97,47104,0.0039000000000000007,183.70560000000003
417752,4,2021,0.0606,60.60992697010869,64.51,0.0645,2854.97,47104,0.0039000000000000007,183.70560000000003
417752,4,2021,0.0606,60.60992697010869,64.51,0.0645,-2854.97,-47104,0.0039000000000000007,-183.70560000000003
417752,4,2021,0.0606,60.60992697010869,64.51,0.0645,-2854.97,-47104,0.0039000000000000007,-183.70560000000003
417752,4,2021,0.0606,60.61009208937198,64.51,0.0645,-3211.85,-52992,0.0039000000000000007,-206.66880000000003
436805,6,2021,0.271,271.0200980392157,288.33,0.2883,5528.81,20400,0.017299999999999982,352.9199999999996
394732,6,2021,0.2883,288.32990196078435,271.02,0.271,5881.93,20400,-0.017299999999999982,-352.9199999999996
394732,6,2021,0.2883,288.32990196078435,271.02,0.271,-5881.93,-20400,-0.017299999999999982,352.9199999999996
411627,1,2021,0.0271,27.110001499475185,26.88,0.0269,18079.66,666900,-0.0001999999999999988,-133.3799999999992
378928,1,2021,0.0175,17.46001059322034,17.32,0.0173,5933.61,339840,-0.00020000000000000226,-67.96800000000077
424498,1,2021,0.0175,17.459997982243742,17.32,0.0173,20767.62,1189440,-0.00020000000000000226,-237.88800000000268
394732,1,2021,0.271,271.0201573254671,270.35,0.2704,5512.55,20340,-0.0006000000000000449,-12.204000000000914
394732,1,2021,0.271,271.0201573254671,270.35,0.2704,5512.55,20340,-0.0006000000000000449,-12.204000000000914
411567,1,2021,0.0271,27.11,26.88,0.0269,6343.74,234000,-0.0001999999999999988,-46.79999999999972
396399,1,2021,0.082,82.02003205128204,81.35,0.0813,11259.71,137280,-0.0007000000000000062,-96.09600000000084
394732,1,2021,0.271,271.0201573254671,270.35,0.2704,5512.55,20340,-0.0006000000000000449,-12.204000000000914
